江苏电信,#genre#
东海新闻,http://121.237.53.178:8888/rtp/239.49.1.136:6000
宿迁综合,http://121.237.53.178:8888/rtp/239.49.1.140:6000
无锡教育,http://121.237.53.178:8888/rtp/239.49.1.141:6000
新沂新闻频道,http://121.237.53.178:8888/rtp/239.49.1.228:6000#http://121.237.53.178:8888/rtp/239.49.0.122:8000
新沂生活频道,http://121.237.53.178:8888/rtp/239.49.1.229:6000#http://121.237.53.178:8888/rtp/239.49.0.124:8000
新沂影视剧频道,http://121.237.53.178:8888/rtp/239.49.1.230:6000#http://121.237.53.178:8888/rtp/239.49.0.125:8000
新沂广告频道?,http://121.237.53.178:8888/rtp/239.49.1.231:6000
淮安影视娱乐,http://121.237.53.178:8888/rtp/239.49.1.95:6000
淮安公共,http://121.237.53.178:8888/rtp/239.49.1.96:6000
淮安综合,http://121.237.53.178:8888/rtp/239.49.1.97:6000
宿豫综合,http://121.237.53.178:8888/rtp/239.49.1.98:6000
东海县文娱,http://121.237.53.178:8888/rtp/239.49.1.100:6000
东海国学与家道,http://121.237.53.178:8888/rtp/239.49.1.101:6000
未知102,http://121.237.53.178:8888/rtp/239.49.1.102:6000
泗阳综合,http://121.237.53.178:8888/rtp/239.49.1.103:6000
徐州4,http://121.237.53.178:8888/rtp/239.49.1.105:6000#http://121.237.53.178:8888/rtp/239.49.8.203:8902
徐州3,http://121.237.53.178:8888/rtp/239.49.1.106:6000#http://121.237.53.178:8888/rtp/239.49.8.202:8890
徐州2,http://121.237.53.178:8888/rtp/239.49.1.107:6000
徐州1,http://121.237.53.178:8888/rtp/239.49.1.108:6000
贾汪新闻,http://121.237.53.178:8888/rtp/239.49.8.193:6000#http://121.237.53.178:8888/rtp/239.49.0.185:8000
苏州5生活资讯,http://121.237.53.178:8888/rtp/239.49.8.194:6000
苏州5生活资讯测试,http://121.237.53.178:8888/rtp/239.49.8.116:8000
沭阳综合,http://121.237.53.178:8888/rtp/239.49.1.117:6000
邳州综合,http://121.237.53.178:8888/rtp/239.49.1.232:6000
连云港新闻综合,http://121.237.53.178:8888/rtp/239.49.1.244:6000#http://121.237.53.178:8888/rtp/239.49.0.186:8000
连云港公共频道,http://121.237.53.178:8888/rtp/239.49.1.245:6000#http://121.237.53.178:8888/rtp/239.49.0.188:8000
睢宁综合,http://121.237.53.178:8888/rtp/239.49.1.246:6000#http://121.237.53.178:8888/rtp/239.49.0.232:8000
赣榆电视台,http://121.237.53.178:8888/rtp/239.49.1.247:6000
邳州综合频道,http://121.237.53.178:8888/rtp/239.49.0.182:8000
南京十八,http://121.237.53.178:8888/rtp/239.49.1.157:6000
NBS南京新闻综合,http://121.237.53.178:8888/rtp/239.49.1.158:6000
南京科教,http://121.237.53.178:8888/rtp/239.49.1.27:6000
南京生活,http://121.237.53.178:8888/rtp/239.49.1.28:6000
看看新闻-标清,http://121.237.53.178:8888/rtp/239.49.1.211:6000
戏曲?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.120:6000
英语?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.121:6000
电视剧?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.122:6000
动漫1?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.212:6000
动漫2?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.213:6000
嘉佳卡通,http://121.237.53.178:8888/rtp/239.49.1.214:6000
养生?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.221:6000
欧美电影?-BESTV,http://121.237.53.178:8888/rtp/239.49.1.118:6000#http://121.237.53.178:8888/rtp/239.49.0.236:8000
max极速汽车-BESTV,http://121.237.53.178:8888/rtp/239.49.1.119:6000#http://121.237.53.178:8888/rtp/239.49.0.237:8000
